system:index,B2_mean,B4_mean,B5_mean,B6_mean,B7_mean,date,image_count,interpolated_flag,month,year,.geo
38,12747.06909,14840.8453,19629.73568,18787.54951,15585.29944,3/1/2016,8,0,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,21071.06165,21612.42221,25289.32423,21213.02188,17156.53082,4/1/2016,8,0,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,15941.568,17210.8509,22832.00922,20024.96964,16828.73268,5/1/2016,8,0,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,18464.45855,19899.60323,24025.41069,22188.30563,18829.10149,6/1/2016,6,0,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,22992.48392,24070.05181,26629.78192,24075.32833,20458.83902,7/1/2016,7,0,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,15202.74916,17353.56061,20535.16417,20704.72065,17558.86101,8/1/2016,8,0,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,19258.39338,21026.19226,23518.40316,22576.14003,18976.75957,9/1/2016,8,0,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,11415.01259,14329.85258,17657.50632,19894.54553,16957.95555,10/1/2016,8,0,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,16385.53805,18014.21811,21413.062,20070.40109,16881.23941,11/1/2016,6,0,11,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,13243.30327,14700.69902,21094.54474,17953.99829,14786.55222,12/1/2016,8,0,12,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,10598.7089,12926.49866,18557.50544,17911.6568,15030.12256,1/1/2017,8,0,1,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,17261.12307,19076.59617,22437.20068,20738.63601,17398.20563,2/1/2017,8,0,2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,12471.69886,15077.80822,18865.05533,19563.1661,16449.71621,3/1/2017,8,0,3,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,14137.0636,16322.51263,20480.75748,19635.61562,16572.08025,4/1/2017,6,0,4,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,20472.98025,21220.62535,25542.09447,20618.29823,16356.1358,5/1/2017,8,0,5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,15257.74513,16935.13744,21657.23514,19571.72798,16178.45433,6/1/2017,8,0,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,20766.21049,22297.47202,25028.51679,22760.69586,19246.92449,7/1/2017,8,0,7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,16096.84774,18358.89732,21330.62882,21536.21403,18339.25192,8/1/2017,8,0,8,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,12221.39253,14990.72917,18173.54607,20266.71778,17552.4636,9/1/2017,6,0,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,15586.77506,17939.52094,20837.98469,22014.05557,18736.14904,10/1/2017,7,0,10,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,20977.53359,21433.73092,24604.25978,18207.74835,14716.71221,11/1/2017,7,0,11,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,10888.52833,12759.88792,19156.8405,17504.48446,14609.90189,12/1/2017,8,0,12,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,10587.44541,13079.12052,18148.0058,18244.46276,15513.38758,1/1/2018,8,0,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,15817.3164,18131.336,21547.70384,20358.0695,16859.17433,2/1/2018,6,0,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,19942.31136,20813.57428,24193.51156,18838.15969,16300.73849,3/1/2018,7,0,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,16101.53669,17022.04385,24040.4994,17637.24268,14490.0871,4/1/2018,8,0,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,15147.08382,16153.11012,23997.63021,18658.78695,15151.91808,5/1/2018,8,0,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,15202.84916,16612.52557,23414.30106,19545.86355,16240.08818,6/1/2018,6,0,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,18037.44893,19126.62111,23800.82375,20668.80227,17138.22769,7/1/2018,8,0,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,22405.71684,23197.48905,26240.84324,23198.69835,19274.62934,8/1/2018,6,0,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,14466.0656,16570.01402,20600.83873,20855.59411,17442.20041,9/1/2018,8,0,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,13606.1525,15844.07972,19606.10214,20218.16674,16861.0553,10/1/2018,8,0,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,17501.12266,18762.50693,22179.83391,20364.58986,17009.51299,11/1/2018,8,0,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,16463.44341,17336.41459,23346.5041,18305.4815,14712.66518,12/1/2018,8,0,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,17883.37477,18729.59418,24631.22721,18664.02133,14852.56387,1/1/2019,5,0,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,14678.80641,16350.14032,20984.43267,19243.43557,15793.00765,2/1/2019,8,0,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,14894.53541,16804.48182,20539.64845,20026.61195,16516.66,3/1/2019,8,0,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,13180.79923,15575.08818,19305.3666,19571.57083,16285.06111,4/1/2019,6,0,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,15020.86147,16548.7439,21640.27584,19526.8174,16149.33791,5/1/2019,7,0,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,18412.22958,19604.22733,23226.92307,21585.03378,17733.84602,6/1/2019,4,0,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,15263.83582,17663.14919,21255.27878,21019.56352,17923.51455,7/1/2019,8,0,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,18684.92541,20504.9038,23063.9966,22820.48516,19535.63635,8/1/2019,8,0,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,9571.819649,12457.80546,16051.01894,19023.0752,16356.20107,9/1/2019,8,0,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,14486.78791,16157.88648,20141.11244,18621.94777,15488.00423,10/1/2019,8,0,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,12153.77412,13705.24626,20530.85088,17529.70496,14459.15954,11/1/2019,5,0,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,14254.52038,15222.36157,22793.98547,16961.26683,13589.58832,12/1/2019,8,0,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,12141.038,13353.93606,21562.39382,16103.42852,13041.05946,1/1/2020,6,0,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,11024.21874,12213.02364,20534.38692,16212.9064,13082.22269,2/1/2020,7,0,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,12164.75792,13446.49448,21233.60762,17089.91622,13913.5403,3/1/2020,6,0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,12842.68592,14040.73769,21321.86135,17493.79042,14161.06602,4/1/2020,8,0,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,14285.6265,15361.84047,22464.96021,18459.19882,14995.65883,5/1/2020,8,0,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,13663.37782,15100.65941,20757.77322,18850.24471,15479.6231,6/1/2020,8,0,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,11543.09452,13729.90385,18790.99219,18474.57677,15155.07354,7/1/2020,8,0,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,13980.63897,15931.38131,19934.46581,20231.44601,16704.15702,8/1/2020,8,0,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,21438.82002,22564.34942,25047.85781,23869.42944,20302.16489,9/1/2020,6,0,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,13185.94851,15569.19423,19349.30115,20415.23955,16991.27143,10/1/2020,8,0,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
