system:index,VH,VV,date,forest,.geo
0_S1A_IW_GRDH_1SDV_20171005T154753_20171005T154818_018679_01F831_5043,-18.075489234552617,-12.17326683995838,2017-10-05,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20171017T154753_20171017T154818_018854_01FD8B_2DE7,-18.11719248341442,-12.048351739995763,2017-10-17,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20171029T154753_20171029T154818_019029_0202DC_F65D,-17.953933683296647,-11.679807710168443,2017-10-29,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20171110T154753_20171110T154818_019204_020841_E582,-15.66326091800159,-9.226560106440619,2017-11-10,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20171122T154752_20171122T154817_019379_020DCA_B81F,-17.127536301603822,-10.893794190363053,2017-11-22,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20171204T154752_20171204T154817_019554_021342_0DD8,-17.189381179386878,-11.034847636828578,2017-12-04,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20171216T154752_20171216T154817_019729_0218B2_BF5C,-17.179075331595314,-11.037974395404124,2017-12-16,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20171228T154751_20171228T154816_019904_021E1F_3F73,-17.174161080756836,-11.26418455709463,2017-12-28,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180109T154751_20180109T154816_020079_0223A6_8318,-17.33403520729746,-11.374378575009144,2018-01-09,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180121T154750_20180121T154815_020254_022932_A756,-17.49701460913404,-11.67069879897597,2018-01-21,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180214T154750_20180214T154815_020604_023462_5379,-17.928370197700303,-12.09273628937125,2018-02-14,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180226T154750_20180226T154815_020779_0239F8_D4F9,-17.935052951764128,-12.076569761795225,2018-02-26,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180310T154750_20180310T154815_020954_023F78_59A3,-18.21325050604192,-12.120039320267592,2018-03-10,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180403T154750_20180403T154815_021304_024A8E_03EA,-17.166438478185242,-10.789836818789848,2018-04-03,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180415T154750_20180415T154815_021479_025000_EC6E,-16.12685154451194,-10.048692361090163,2018-04-15,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180427T154751_20180427T154816_021654_025577_DF9C,-16.11314908719485,-9.928348926378575,2018-04-27,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180509T154752_20180509T154817_021829_025B05_D4C3,-16.447470840755052,-10.25942884625217,2018-05-09,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180521T154752_20180521T154817_022004_02609B_EC8E,-16.46180914440868,-10.417786902151883,2018-05-21,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180602T154753_20180602T154818_022179_02662A_6809,-16.290529351911506,-10.418155576232062,2018-06-02,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180614T154754_20180614T154819_022354_026B9B_B5D1,-16.89723571589049,-10.865704304514162,2018-06-14,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180626T154755_20180626T154820_022529_0270C1_4036,-16.584679345774692,-10.653273041778087,2018-06-26,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180708T154755_20180708T154820_022704_0275DE_CDDC,-16.88809985950602,-10.86367506194778,2018-07-08,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180720T154756_20180720T154821_022879_027B39_EFCC,-17.143238960094433,-11.051848672838824,2018-07-20,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180801T154757_20180801T154822_023054_0280C3_BB25,-17.389659833830553,-11.350136504009589,2018-08-01,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180813T154757_20180813T154822_023229_02865E_EBB5,-17.148092194462375,-11.332231720821932,2018-08-13,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180825T154758_20180825T154823_023404_028BFD_95E1,-17.513601239223313,-11.497137872767182,2018-08-25,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180906T154759_20180906T154824_023579_029194_FF44,-17.687213149233266,-11.653676965068247,2018-09-06,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180918T154759_20180918T154824_023754_029730_09DF,-17.970490511534592,-11.965823936903224,2018-09-18,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180930T154759_20180930T154824_023929_029CDF_A5AE,-18.00497272753081,-11.948247933599673,2018-09-30,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181012T154759_20181012T154824_024104_02A29D_CB58,-18.16163272376277,-12.018393180418167,2018-10-12,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181024T154759_20181024T154824_024279_02A849_C63E,-18.019834189362626,-11.556107424513083,2018-10-24,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181105T154759_20181105T154824_024454_02AE3F_A61A,-18.137210562327308,-11.654229982247582,2018-11-05,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181117T154759_20181117T154824_024629_02B4AC_407B,-15.543549060021256,-9.215964939223706,2018-11-17,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181129T154759_20181129T154824_024804_02BB01_056D,-17.48423281271664,-10.863321876570652,2018-11-29,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181211T154758_20181211T154823_024979_02C0FE_0B5A,-15.941800752106484,-9.716013514259513,2018-12-11,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181223T154758_20181223T154823_025154_02C74D_808C,-16.5394939521805,-10.384159512386356,2018-12-23,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190104T154757_20190104T154822_025329_02CD9C_894A,-15.207450687412202,-9.365283022405622,2019-01-04,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190116T154757_20190116T154822_025504_02D3EE_F68A,-15.793329921762115,-9.803434645497981,2019-01-16,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190128T154757_20190128T154822_025679_02DA52_A863,-17.000895598660602,-10.953092040313578,2019-01-28,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190209T154756_20190209T154821_025854_02E09C_089A,-17.03564807908225,-11.213690189667963,2019-02-09,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190221T154756_20190221T154821_026029_02E6CE_47DD,-17.47229078477851,-11.215920774202486,2019-02-21,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190305T154756_20190305T154821_026204_02ED1A_EEA0,-16.925269091797446,-10.638117860481128,2019-03-05,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190317T154756_20190317T154821_026379_02F38A_6C03,-17.90131979510989,-11.495425530040814,2019-03-17,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
